0.3285,231.4259,3310.8228,1578.5,,,average,errorbar,errorbar,std
0.3916,2.8581,3759.1667,1995.3,,delivery_prob,0.35089,0.380056608,0.321723392,0.029166608
0.3676,4.4963,3347.6679,1424.1,,overhead,74.404801,180.5937365,-31.78413446,106.1889355
0.3759,0.1569,3356.3759,1576.3,,hopcount_avg,3421.157536,3715.345371,3126.969701,294.1878349
0.3525,0.6089,3399.9813,1807.9,,hopcount_med,1649.556,1874.666794,1424.445206,225.110794
0.3457,0.0853,3598.45,1665.9,,,,,,
0.3258,0.1516,2954.2251,1458.5,,,2.83525,,,
0.3471,2.6383,3646.9553,2041.8,,,,,,
0.3772,0.5545,3526.8413,1692.3,,,,,,
0.3608,4.8156,3255.9835,1436.1,,,,,,
0.3388,2.6174,3140.9036,1429.4,,,,,,
0.3532,3.7981,3226.2423,1461.9,,,,,,
0.3498,0.198,3928.9586,2073,,,,,,
0.3381,0.0933,3625.7501,1733.9,,,,,,
0.3519,190.7485,3520.0766,1738.4,,,,,,
0.3436,74.7625,2920.1291,1357.1,,,,,,
0.2798,295.201,3630.3083,1796.9,,,,,,
0.2853,361.6971,3340.8067,1569.8,,,,,,
0.3464,143.6733,3741.8436,1779.6,,,,,,
0.3601,0.4952,3258.4162,1538.8,,,,,,
0.3765,4.3206,3789.1661,1972.4,,,,,,
0.3532,0.0777,3129.687,1573.2,,,,,,
0.3628,0.2741,3170.9476,1484.2,,,,,,
0.3628,178.7429,3465.2059,1425.9,,,,,,
0.3909,0.6053,3756.1607,2112.3,,,,,,
0.3464,3.0495,3587.5141,1704.2,,,,,,
0.3025,246.9433,3191.2478,1589.8,,,,,,
0.3011,265.0638,3577.5157,1846.1,,,,,,
0.3107,270.4834,3298.2775,1719.8,,,,,,
0.3635,0.5925,3602.7885,1720.6,,,,,,
0.3978,0.1224,3068.9548,1439.7,,,,,,
0.3402,0.0464,3870.547,1977.6,,,,,,
0.3148,211.4771,3530.7625,1788.1,,,,,,
0.3368,10.6538,3086.0464,1452.8,,,,,,
0.3347,0.1414,3154.8002,1386.5,,,,,,
0.3265,3.6345,3093.3426,1444.1,,,,,,
0.4198,0.0539,3260.859,1530.9,,,,,,
0.3992,0.055,3244.6235,1417.1,,,,,,
0.3594,0.0763,3745.0594,1658.9,,,,,,
0.334,237.3429,3304.9959,1506.4,,,,,,
0.3841,160.5393,3357.1921,1524.2,,,,,,
0.4026,71.8671,3483.2019,1513.1,,,,,,
0.3512,0.1328,3040.3689,1507.6,,,,,,
0.3834,0.1002,3554.1199,1801.2,,,,,,
0.3669,4.1383,3625.4133,1790.2,,,,,,
0.3471,0.1877,3436.0136,1519,,,,,,
0.3704,185.3574,3241.5211,1618.7,,,,,,
0.3861,0.0533,3550.4668,1751.5,,,,,,
0.3601,2.5771,3515.7168,1747.5,,,,,,
0.3272,0.3396,3247.7899,1510.2,,,,,,
0.3779,0.2613,3241.392,1357.4,,,,,,
0.3224,107.4787,3117.6845,1370.7,,,,,,
0.3134,284.5361,3488.4691,1741.9,,,,,,
0.3738,128.0037,2789.0594,1352.8,,,,,,
0.323,180.4947,3411.0845,1854.5,,,,,,
0.356,0.1618,3837.2545,1656.2,,,,,,
0.3169,0.0325,3389.6584,1679.2,,,,,,
0.3333,168.4938,3366.3813,1549.7,,,,,,
0.3409,0.2555,3288.5459,1489.1,,,,,,
0.3717,0.0498,3644.7295,1909.5,,,,,,
0.3532,8.7728,3415.6522,1623.5,,,,,,
0.3848,0.0749,2952.0652,1372.7,,,,,,
0.3429,94.706,3220.1206,1263.6,,,,,,
0.3491,0.0982,4011.098,2055.2,,,,,,
0.3957,131.5633,3569.9893,1619.4,,,,,,
0.3793,0.1049,3410.6499,1633.8,,,,,,
0.3512,0.2227,3867.6176,1978.2,,,,,,
0.3971,0.2297,2811.8135,1482.7,,,,,,
0.406,0.2078,3845.5117,2006.7,,,,,,
0.3368,188.3809,3809.6857,1865.8,,,,,,
0.3292,145.8354,3688.8571,1627.9,,,,,,
0.3326,221.3835,3243.7254,1386.6,,,,,,
0.3717,208.1919,3416.5648,1523.6,,,,,,
0.3326,0.1134,3394.3491,1713.9,,,,,,
0.3539,0.1298,3380.5717,1674.8,,,,,,
0.3272,102.8134,3327.0017,1500.9,,,,,,
0.3292,252.4813,2603.0865,1149.2,,,,,,
0.3909,0.1333,3423.2661,1715.8,,,,,,
0.3827,0.1434,2869.9785,1254,,,,,,
0.3875,0.4425,3783.0965,1895.6,,,,,,
0.2483,376.7983,3611.0834,1680.4,,,,,,
0.3436,2.8124,3591.7673,1617.1,,,,,,
0.334,3.5175,3449.7867,1787.2,,,,,,
0.3395,156.5818,3593.8469,1562.8,,,,,,
0.2984,308.7931,3516.2639,1664.3,,,,,,
0.3807,0.1333,4258.9023,2285,,,,,,
0.3272,193.2055,3409.2925,1584.4,,,,,,
0.3416,4.5884,3377.3038,1578.2,,,,,,
0.3567,212.9404,2925.3115,1311.6,,,,,,
0.3422,0.4148,2990.1337,1556.3,,,,,,
0.3519,102.9883,3561.1019,2067.5,,,,,,
0.3484,0.0354,3154.5339,1509.4,,,,,,
0.3937,2.7526,3798.5831,2166,,,,,,
0.3471,144.6818,3493.114,1733.5,,,,,,
0.3608,0.0837,3965.2926,2055.7,,,,,,
0.3491,0.167,3842.1375,2067.5,,,,,,
0.3388,0.251,3411.2694,1435.4,,,,,,
0.3189,310.6473,3298.857,1535.2,,,,,,
0.3402,12.0867,3179.1361,1573.1,,,,,,
0.3326,201.0784,3598.8645,1690.8,,,,,,
