0.207,139.868,2169.5842,876.7,,,average,errorbar,errorbar,std
0.1933,135.7845,1965.994,815.1,,delivery_prob,0.208757,0.224375988,0.193138012,0.015618988
0.2001,137.2935,1680.257,623.8,,overhead,132.003255,141.3552504,122.6512596,9.351995374
0.2322,122,1834.8585,852.6,,hopcount_avg,1754.776141,1928.418987,1581.133295,173.6428463
0.2015,142.5763,1574.9749,738.2,,hopcount_med,786.038,892.9204284,679.1555716,106.8824284
0.2083,136.9443,1711.8489,863,,,,,,
0.1933,135.0565,1777.6382,846.2,,,,,,
0.2008,137.9388,1729.2071,817.1,,,,,,
0.2022,128.4324,1860.0932,749.5,,,,,,
0.1933,127.6502,1761.9102,818.4,,,,,,
0.2097,117.8534,2114.6094,988.2,,,,,,
0.2077,139.125,1702.8618,731.3,,,,,,
0.224,132.2622,1635.7564,666.4,,,,,,
0.194,138.6268,1746.5081,731.7,,,,,,
0.1967,125.9167,1513.8913,786,,,,,,
0.1995,129.0514,1754.9158,911.1,,,,,,
0.1831,118.9515,1803.981,808.6,,,,,,
0.224,125.3598,1464.6902,602.8,,,,,,
0.2261,114.4018,1738.5785,767.6,,,,,,
0.1967,111.7778,1913.0226,737.1,,,,,,
0.1981,130.8931,1552.7266,753.9,,,,,,
0.1981,147.8724,1871.2769,842.4,,,,,,
0.2295,127.2083,1596.9399,753.2,,,,,,
0.2193,110.6168,1676.6938,823.9,,,,,,
0.2117,132.8548,1642.2842,782.1,,,,,,
0.2179,135.8182,1777.5972,803.8,,,,,,
0.2124,147.1608,1622.8553,762.9,,,,,,
0.1954,129.0175,1770.4437,803.4,,,,,,
0.2261,115.852,1793.3795,862.7,,,,,,
0.2213,133.429,1852.0944,739.5,,,,,,
0.2138,134.1054,1662.7738,780.6,,,,,,
0.2008,141.4932,1768.1133,857.1,,,,,,
0.2117,138.8452,1696.1965,751.5,,,,,,
0.1995,130.3493,2041.6435,960.4,,,,,,
0.1837,131.4349,1737.6996,782.2,,,,,,
0.1967,148.4896,1774.8493,705,,,,,,
0.2316,124.2507,1739.8201,743.6,,,,,,
0.196,125.7631,1870.4624,701.8,,,,,,
0.2063,123.106,1700.9659,663.4,,,,,,
0.2138,130.5367,1384.939,641.2,,,,,,
0.2186,136.3688,1593.0991,784.7,,,,,,
0.2056,131.1163,1927.0781,837.3,,,,,,
0.1954,117.7413,2018.5972,887,,,,,,
0.2036,128.7383,1773.0537,832.7,,,,,,
0.2391,124.9629,1561.9577,676.1,,,,,,
0.1796,141.2205,1395.1939,594.8,,,,,,
0.2172,119.434,1783.5692,902.6,,,,,,
0.1988,138.2131,1651.9388,917.8,,,,,,
0.194,130.3486,1950.2877,741.5,,,,,,
0.181,131.317,1704.2042,723.6,,,,,,
0.2261,138.1118,1774.4553,810.5,,,,,,
0.1906,146.595,1725.1935,778.8,,,,,,
0.2247,130.8359,1795.8918,776.1,,,,,,
0.2015,127.7593,1477.8224,741.7,,,,,,
0.2111,140.9029,1851.2563,781.2,,,,,,
0.2165,132.47,1811.2057,963.5,,,,,,
0.196,140.4042,1442.4787,696.3,,,,,,
0.2083,127.2689,1973.2662,681.8,,,,,,
0.2302,133.819,1777.4786,758.3,,,,,,
0.2042,144.4181,1645.8833,768.6,,,,,,
0.2234,135.7615,1774.3685,829.3,,,,,,
0.2138,144.639,1649.6198,664.2,,,,,,
0.2042,140.398,1485.9866,683.3,,,,,,
0.2029,119.2795,1819.6579,820,,,,,,
0.2186,132.825,1858.6044,958.5,,,,,,
0.2145,135.3408,1669.1522,702.7,,,,,,
0.209,144.585,1936.9974,739.1,,,,,,
0.1967,141.0972,1526.9861,697.1,,,,,,
0.2295,121.6042,1805.0062,858.6,,,,,,
0.2247,122.003,1642.2626,728.8,,,,,,
0.1892,138.0866,2150.2877,979.4,,,,,,
0.2131,128.5385,1775.0282,677.2,,,,,,
0.2049,127.5667,1613.7213,794.4,,,,,,
0.2302,126.2315,1895.9116,876.8,,,,,,
0.1899,138.0576,2181.6284,1035.6,,,,,,
0.2322,133.9941,1609.0621,749.3,,,,,,
0.2036,156.0772,1958.4154,970.2,,,,,,
0.2097,137.8208,1736.4355,706.9,,,,,,
0.2138,132.0256,1732.638,789.9,,,,,,
0.2008,115.534,1699.9854,886.3,,,,,,
0.2117,138.5226,1837.2768,750.9,,,,,,
0.1913,141.075,1545.8982,601.6,,,,,,
0.224,127.1433,1931.2646,755,,,,,,
0.1783,149.9119,1663.7318,801.7,,,,,,
0.194,129.3134,1938.3782,823.3,,,,,,
0.1749,139.0547,1423.5031,684,,,,,,
0.2029,119.1785,2026.2212,1057.9,,,,,,
0.1954,123.2797,1728.1605,829.8,,,,,,
0.2445,142.7151,1796.6955,576.4,,,,,,
0.2404,139.0568,1447.0815,565.9,,,,,,
0.209,122.7549,1800.4431,917.7,,,,,,
0.248,119.3196,1743.2375,850.3,,,,,,
0.207,127.6337,1808.9271,713,,,,,,
0.2418,121.2542,1683.3545,825.1,,,,,,
0.2036,129.0537,2153.0161,1101,,,,,,
0.1837,139.3978,1553.397,680.8,,,,,,
0.2138,145.8498,1687.1444,622.8,,,,,,
0.2193,110.6137,1867.5417,996.7,,,,,,
0.2336,128.8099,2097.4792,762.7,,,,,,
0.2145,136.9076,1600.2592,638.7,,,,,,
