0.2602,8.9239,971.4147,622.6,,,average,errorbar,errorbar,std
0.2117,5.8968,934.8035,576.3,,delivery_prob,0.216105,0.25111708,0.18109292,0.03501208
0.2152,9.4063,744.3073,465.5,,overhead,7.185743,8.456376652,5.915109348,1.270633652
0.2227,6.2301,1170.0883,763.2,,hopcount_avg,1026.935221,1158.932334,894.9381077,131.9971133
0.2363,7.7168,932.4069,512.8,,hopcount_med,647.255,764.0116055,530.4983945,116.7566055
0.1844,5.3296,1478.2559,948.2,,,,,,
0.1721,5.4762,1184.2623,744.8,,,,,,
0.1865,4.8205,1031.2886,710.2,,,,,,
0.1906,6.9749,879.0186,499.1,,,,,,
0.1311,6.4375,1127.2927,717.1,,,,,,
0.2042,6.9498,1092.7308,731.8,,,,,,
0.1872,6.2555,1102.3237,801.4,,,,,,
0.2377,7.8046,919.3851,619.1,,,,,,
0.1851,7.6458,915.5303,573,,,,,,
0.196,6.9965,1005.8233,605.9,,,,,,
0.1639,8.225,1100.78,649,,,,,,
0.1783,8.2107,1135.5923,586.6,,,,,,
0.2384,7.1633,960.4393,585.5,,,,,,
0.2097,6.8958,1100.9772,758.6,,,,,,
0.2111,5.9191,1064.7314,598.6,,,,,,
0.181,8.3811,1211.4385,817.8,,,,,,
0.2261,5.9607,1292.1798,788.8,,,,,,
0.2036,6.3322,1063.5282,724.6,,,,,,
0.1776,6.2615,1152.2638,701.1,,,,,,
0.1708,6.192,1132.0696,701.8,,,,,,
0.2527,6.3784,1087.4276,790.7,,,,,,
0.1585,5.6078,982.4759,626.8,,,,,,
0.1844,5.4,1352.7989,832.3,,,,,,
0.2452,8.2368,978.5827,618.5,,,,,,
0.2145,7.207,1120.3529,784,,,,,,
0.194,6.3873,1168.6842,732.2,,,,,,
0.2029,8.8081,1035.0273,429.8,,,,,,
0.2199,6.7733,999.0708,693.3,,,,,,
0.2842,11.2668,768.5767,384.4,,,,,,
0.2459,6.9222,1134.5561,735.3,,,,,,
0.1926,7.8085,1046.7106,684.7,,,,,,
0.2206,5.5511,1079.365,790.2,,,,,,
0.2254,5.2545,1020.6288,635.6,,,,,,
0.2022,6.2703,873.9787,500.5,,,,,,
0.2705,7.1616,926.7616,543.3,,,,,,
0.1851,5.8303,1068.1841,686,,,,,,
0.3286,6.3742,913.817,628.9,,,,,,
0.2568,7.2447,939.8628,613.6,,,,,,
0.224,7.0915,1047.0454,655.7,,,,,,
0.2452,9.3593,820.09,474.3,,,,,,
0.1892,7.5921,1016.4116,695.3,,,,,,
0.1612,10.6017,947.6839,521.4,,,,,,
0.2609,9.2225,840.0034,450.5,,,,,,
0.2152,6.4952,1006.3937,679.2,,,,,,
0.1974,10.0692,765.7443,378.7,,,,,,
0.2329,5.0323,1045.3557,619.9,,,,,,
0.1817,8.7105,937.1169,519.2,,,,,,
0.2268,6.4789,1047.8401,825.2,,,,,,
0.1885,6.721,934.5196,654.1,,,,,,
0.2138,7.1182,902.1077,566.7,,,,,,
0.2739,7.2743,937.9666,616.6,,,,,,
0.2288,8.7284,1067.1773,782.2,,,,,,
0.2179,8.884,889.3066,550.1,,,,,,
0.25,6.9863,808.6374,487.4,,,,,,
0.2261,7.1299,1028.8819,628.3,,,,,,
0.1995,6.3527,1127.5212,765.6,,,,,,
0.2077,8.1809,917.3553,544.8,,,,,,
0.237,6.3285,1077.4478,752.6,,,,,,
0.1503,5.5591,1156.0091,785,,,,,,
0.2582,7.3413,1137.2122,748.6,,,,,,
0.2029,7.6296,1211.0152,666,,,,,,
0.2309,8.3728,1077.5814,548.4,,,,,,
0.2111,6.2718,948.79,609.6,,,,,,
0.2234,6.2783,1013.2064,602,,,,,,
0.2056,6.0797,1239.2591,832.5,,,,,,
0.2117,7.7452,1020.4139,674.9,,,,,,
0.2473,5.0635,1000.5155,561.8,,,,,,
0.138,7.4158,1036.9193,667.4,,,,,,
0.276,6.0644,899.9792,548.3,,,,,,
0.2363,7.0925,931.4697,594.8,,,,,,
0.2001,6.7235,1281.6908,811.6,,,,,,
0.2582,6.8704,965.5817,667.3,,,,,,
0.2042,9.1806,1010.0849,679.8,,,,,,
0.2104,7.5909,1065.0873,669.8,,,,,,
0.2486,7.7692,985.4659,639.7,,,,,,
0.1673,7.2,1162.3143,682,,,,,,
0.2254,7.3242,1050.0752,688.7,,,,,,
0.2322,7.2618,927.7024,393.9,,,,,,
0.181,7.6377,985.2475,590.2,,,,,,
0.2049,5.5733,1022.6713,644.2,,,,,,
0.3067,7.5479,974.9416,697,,,,,,
0.179,7.4962,1099.6294,667.6,,,,,,
0.2329,9.2727,1040.1762,762.4,,,,,,
0.2398,6.0228,936.3422,621.7,,,,,,
0.3053,9.3781,701.1707,365.4,,,,,,
0.2172,8.239,893.0997,492.2,,,,,,
0.2247,7.1307,1100.1821,755.9,,,,,,
0.1701,8.755,1266.1209,786.4,,,,,,
0.2445,7.8464,1163.3899,790.3,,,,,,
0.2022,6.1858,1210.7571,794.5,,,,,,
0.2404,7.2358,935.5733,612.4,,,,,,
0.2029,9.0909,839.5808,507.1,,,,,,
0.237,6.3718,1118.7781,764.1,,,,,,
0.2268,6.8976,1057.756,645.8,,,,,,
0.2138,5.8115,863.3316,474.9,,,,,,
