0.2999,9.0797,884.18,628,,,average,errorbar,errorbar,std
0.2008,5.1633,1164.9252,774.4,,delivery_prob,0.219025,0.256835614,0.181214386,0.037810614
0.1885,6.6014,985.2449,698.5,,overhead,7.210233,8.498046243,5.922419757,1.287813243
0.2022,9.1622,934.1672,631.7,,hopcount_avg,1019.354649,1157.725023,880.984275,138.370374
0.2828,8.1691,868.4795,454.3,,hopcount_med,646.754,778.361285,515.146715,131.607285
0.1892,7.0542,1107.7437,711.7,,,,,,
0.2964,6.9147,961.3226,634.6,,,,,,
0.1762,6.5853,1104.3519,860,,,,,,
0.2111,6.2233,863.4906,566,,,,,,
0.1557,5.0482,1394.9675,845.9,,,,,,
0.2213,6.8364,1158.5627,778.3,,,,,,
0.2117,6.4258,1087.3281,833.4,,,,,,
0.1407,4.767,1307.6,879.1,,,,,,
0.2172,10.6321,814.5016,416.5,,,,,,
0.2322,7.0206,1016.8974,658.1,,,,,,
0.1817,6.0338,906.162,584.4,,,,,,
0.1878,8.7236,983.6844,700.5,,,,,,
0.1619,8.8354,1121.0633,810.3,,,,,,
0.207,7.0099,1093.5086,673.9,,,,,,
0.2254,6.6091,1099.0921,695.3,,,,,,
0.2534,7.3208,994.9302,677.7,,,,,,
0.3183,8.2725,901.7202,607,,,,,,
0.196,11.3798,703.8627,300,,,,,,
0.1844,6.6037,1112.363,735.3,,,,,,
0.2814,6.8641,972.8114,609.4,,,,,,
0.1995,7.2979,1300.1281,895,,,,,,
0.2602,6.3648,1054.3601,721.1,,,,,,
0.222,7.2769,1193.2437,789.3,,,,,,
0.222,7.9815,1016.78,597.3,,,,,,
0.263,6.8987,1116.7114,710.3,,,,,,
0.2254,6.3515,1019.6467,717.3,,,,,,
0.168,7.1545,1022.5435,482.9,,,,,,
0.2288,6.406,1217.9039,932,,,,,,
0.2165,8.4101,1098.2259,701.6,,,,,,
0.2063,6.3013,1183.9556,845,,,,,,
0.2206,5.9164,1053.4087,682.1,,,,,,
0.2336,7.3041,1060.3965,744,,,,,,
0.2179,6.3981,1071.826,514.1,,,,,,
0.2077,6.5954,1058.7734,688.8,,,,,,
0.3354,7.5764,889.5762,605.5,,,,,,
0.194,9.3239,996.7662,634.3,,,,,,
0.2794,8.4034,1062.7284,682.7,,,,,,
0.2213,7.321,1061.4077,710.5,,,,,,
0.2391,6.3343,1025.8263,690.1,,,,,,
0.2254,7.0455,895.6552,397.5,,,,,,
0.1755,6.5992,896.479,630.3,,,,,,
0.2036,9.5436,994.251,674.7,,,,,,
0.1824,6.7266,1016.0843,655.3,,,,,,
0.2316,6.2891,1148.9953,769.9,,,,,,
0.1516,5.6126,1090.5477,814.2,,,,,,
0.235,5.9331,991.8154,636.3,,,,,,
0.2425,12.1324,719.631,302.3,,,,,,
0.1701,5.6827,1201.6948,775.2,,,,,,
0.2165,7.6593,1059.071,619.3,,,,,,
0.2466,6.1163,1035.6211,600.3,,,,,,
0.252,8.0678,987.403,672.9,,,,,,
0.2131,6.5545,1052.1308,694.6,,,,,,
0.209,5.9281,1169.6748,829.3,,,,,,
0.2247,6.3465,1018.3404,611.6,,,,,,
0.237,6.7349,1073.2548,753.3,,,,,,
0.1755,7.8249,1033.5086,661.7,,,,,,
0.2541,9.4328,812.8739,419,,,,,,
0.207,9,924.2099,537.7,,,,,,
0.1919,8.1851,948.1826,384.5,,,,,,
0.1796,6.0456,1291.1042,878.9,,,,,,
0.1667,6.9262,1107.7107,777.1,,,,,,
0.1714,7.004,991.0693,583.9,,,,,,
0.2548,6.2332,1083.8984,722.5,,,,,,
0.1981,7.3966,980.4666,666.2,,,,,,
0.237,5.5331,1022.2879,598.5,,,,,,
0.2145,7.1975,1136.099,587.4,,,,,,
0.2172,6.6006,926.3434,547.2,,,,,,
0.1469,6.586,1123.2935,777.6,,,,,,
0.1885,5.6993,1002.7344,732,,,,,,
0.2357,7.8087,849.4188,607.3,,,,,,
0.2329,6.6188,958.4346,616.3,,,,,,
0.2199,7.646,1128.7186,629,,,,,,
0.2001,8.4949,1111.0007,665,,,,,,
0.2199,7.146,1101.0301,760.7,,,,,,
0.2343,7.4869,804.2478,624.3,,,,,,
0.179,5.7137,1075.3187,558.9,,,,,,
0.2411,6.3484,915.3527,591.9,,,,,,
0.1919,6.5409,1159.3541,609,,,,,,
0.2008,10.1939,715.0306,388.8,,,,,,
0.2083,7.141,902.2498,585.3,,,,,,
0.2111,8.3786,851.1699,547,,,,,,
0.179,6.4122,1006.7721,563.9,,,,,,
0.179,5.6107,1055.192,679.4,,,,,,
0.2473,8.047,908.1461,659.8,,,,,,
0.2951,9.0116,707.5468,284.5,,,,,,
0.2773,7.5025,776.551,406,,,,,,
0.2411,6.1728,1327.2955,743.4,,,,,,
0.1858,7.1801,989.9846,619.9,,,,,,
0.2561,7.408,1208.1211,725.5,,,,,,
0.2097,6.671,1015.6622,680.9,,,,,,
0.235,7.0378,1013.1709,632.7,,,,,,
0.2923,7.1238,672.4278,441.1,,,,,,
0.2705,7.9419,858.1768,524.9,,,,,,
0.2459,6.7056,978.1814,569.1,,,,,,
0.2097,7.0912,1065.3091,541.4,,,,,,
