0.2917,2.0494,665.4435,536.2,,,average,errorbar,errorbar,std
0.1956,4.1158,825.5418,479.9,,delivery_prob,0.182969,0.23926668,0.12667132,0.05629768
0.1901,2.4693,662.8047,523,,overhead,3.027164,4.071429855,1.982898145,1.044265855
0.0851,6.129,813.3347,582.1,,hopcount_avg,676.781779,793.7301881,559.8333699,116.9484091
0.2416,6.8523,397.0156,185.1,,hopcount_med,470.576,597.4452512,343.7067488,126.8692512
0.1023,3.047,868.2993,633,,,,,,
0.2368,2.3942,666.3101,576.8,,,,,,
0.1551,2.7611,568.4584,437.7,,,,,,
0.2059,2.43,580.0793,407.5,,,,,,
0.1002,2.1438,724.6822,659,,,,,,
0.1654,4.0166,876.3983,609.6,,,,,,
0.2395,2.702,686.786,547.9,,,,,,
0.0981,1.7902,758.0343,420.6,,,,,,
0.1503,2.863,725.0616,523.4,,,,,,
0.1682,3.6449,675.3412,402.8,,,,,,
0.2011,2.3686,664.4491,520.6,,,,,,
0.2217,2.969,519.426,269.1,,,,,,
0.14,2.3431,822.5681,680.7,,,,,,
0.1414,4.1796,622.6738,415,,,,,,
0.2979,3.6613,685.7512,525.4,,,,,,
0.21,2.8007,548.6428,434.2,,,,,,
0.245,3.0504,847.0443,582.7,,,,,,
0.1469,2.2991,626.3836,368,,,,,,
0.1757,3.3438,683.1375,537.7,,,,,,
0.1654,4.1162,697.8519,520,,,,,,
0.2025,2.2847,669.7051,460.1,,,,,,
0.1489,1.4608,683.3433,466.7,,,,,,
0.094,1.8175,771.2891,619.6,,,,,,
0.199,3.2759,688.7972,509.2,,,,,,
0.2629,3.0052,657.2005,507.1,,,,,,
0.1743,2.0984,733.4063,516.6,,,,,,
0.2505,3.4575,402.2753,199.5,,,,,,
0.2766,2.0447,676.9618,555.1,,,,,,
0.1839,2.6045,688.6944,548.3,,,,,,
0.0817,4.2269,884.2429,506.9,,,,,,
0.1778,3.5174,820.017,577,,,,,,
0.1242,2.7624,785.3171,549.5,,,,,,
0.1942,2.1625,628.323,514.5,,,,,,
0.2649,3.3523,480.9251,221.6,,,,,,
0.2546,4.3531,525.2976,297.7,,,,,,
0.2203,3.8505,657.2794,471.4,,,,,,
0.1407,2.7463,737.6605,528.8,,,,,,
0.2189,2.2696,675.9285,331,,,,,,
0.2066,3.0532,609.2219,414.6,,,,,,
0.1661,2.3636,622.1698,518.4,,,,,,
0.081,1.7797,914.2881,556.6,,,,,,
0.1654,4.6266,528.4357,307.6,,,,,,
0.1915,2.3082,646.3839,544.3,,,,,,
0.1784,2.8885,735.7692,609.7,,,,,,
0.1853,1.8444,662.3848,312,,,,,,
0.1633,2.5336,701.6349,483.9,,,,,,
0.2588,2.7719,458.1897,269.1,,,,,,
0.2642,2.3273,629.193,501.1,,,,,,
0.1688,3.935,594.2053,384.1,,,,,,
0.1977,2.2604,572.7267,352.9,,,,,,
0.2107,2.4039,599.9704,461.6,,,,,,
0.1819,6.9698,431.2868,212,,,,,,
0.1633,2.8992,664.0601,502.3,,,,,,
0.1901,3.3069,665.8545,365.6,,,,,,
0.1441,5.3524,692.0367,503.6,,,,,,
0.1071,2.4295,612.3756,429.6,,,,,,
0.3089,3.7622,462.01,276,,,,,,
0.2114,5.013,502.9584,238.1,,,,,,
0.1956,3.1123,754.4639,561.3,,,,,,
0.1922,2.7107,769.7975,559.4,,,,,,
0.2375,3.526,659.9486,493.7,,,,,,
0.1544,3.0311,492.8609,276.1,,,,,,
0.1819,2.4038,660.8513,319.5,,,,,,
0.1833,3.1685,693.409,509.4,,,,,,
0.2045,2.8792,722.9178,621.6,,,,,,
0.1503,2.2557,514.8196,279.4,,,,,,
0.1393,1.8177,763.8172,533.4,,,,,,
0.2347,2.8538,719.9254,586.4,,,,,,
0.1805,1.9772,704.2494,618.9,,,,,,
0.1373,3.3,743.332,516.8,,,,,,
0.1489,4.4839,658.8714,390,,,,,,
0.1565,3.6579,652.889,356.9,,,,,,
0.1263,3.3207,814.113,354.5,,,,,,
0.1833,3.4607,754.2906,534.1,,,,,,
0.0975,2.2958,886.0718,653,,,,,,
0.2011,2.0956,654.9253,466.9,,,,,,
0.1043,2.1711,838.2349,583.8,,,,,,
0.2766,1.8561,560.4248,358,,,,,,
0.1956,2.0982,748.6923,349.9,,,,,,
0.0666,3.1856,943.1773,877.6,,,,,,
0.1922,2.3536,643.9482,510.3,,,,,,
0.1222,4.3989,928.3713,693.6,,,,,,
0.1853,2.1778,644.7463,562.4,,,,,,
0.1277,3.0968,622.2145,415.1,,,,,,
0.2855,5.3486,441.7298,231,,,,,,
0.186,2.2731,691.4542,295.1,,,,,,
0.1496,2.8899,613.9959,417.3,,,,,,
0.1668,2.2099,693.7128,529.6,,,,,,
0.3644,3.7928,658.5827,511.4,,,,,,
0.1373,1.415,708.883,571.2,,,,,,
0.1784,2.3308,585.9585,309.7,,,,,,
0.1235,3.2444,681.7528,521.2,,,,,,
0.1338,3.0205,750.5062,570.1,,,,,,
0.1332,2.7784,940.1552,548.5,,,,,,
0.2773,3.0644,676.7446,568.8,,,,,,
