0.2186,49.9813,1641.7134,770,,,average,errorbar,errorbar,std
0.2302,61.1869,1207.6988,552.9,,delivery_prob,0.20528,0.225174139,0.185385861,0.019894139
0.2015,72.9966,1462.6803,598.9,,overhead,61.666082,69.91685289,53.41531111,8.250770888
0.1988,56.5911,1674.3529,866.4,,hopcount_avg,1450.662423,1617.782342,1283.542504,167.1199194
0.1892,57.5054,1410.452,745.2,,hopcount_med,689.97,796.2686355,583.6713645,106.2986355
0.2459,56.5806,1428.2931,674.8,,,,,,
0.1913,72.3,1381.9068,501.3,,,,,,
0.2596,59.8763,1264.5063,660.7,,,,,,
0.1755,76.8171,1441.3401,591.5,,,,,,
0.1954,38.1364,1368.6598,708.2,,,,,,
0.1926,77.6844,1486.5383,755.5,,,,,,
0.2077,60.7368,1360.8984,630.2,,,,,,
0.1926,57.1135,1597.0344,731.3,,,,,,
0.196,47,1718.9899,907.8,,,,,,
0.1851,63.1255,1467.9273,662.6,,,,,,
0.2172,66.4057,1322.3956,679.9,,,,,,
0.1783,58.4943,1430.859,658.9,,,,,,
0.1947,58.793,1273.3646,609.4,,,,,,
0.1687,58.6194,1535.3567,838.2,,,,,,
0.2363,55.0202,1362.4766,770.5,,,,,,
0.2138,63.5527,1539.6537,659.4,,,,,,
0.2295,59.878,1605.0964,795.8,,,,,,
0.2234,69.9327,1122.544,498.4,,,,,,
0.1742,58.851,1535.6122,648.9,,,,,,
0.1913,74.4607,1300.1361,580.1,,,,,,
0.2063,59.8874,1296.6424,530.6,,,,,,
0.1776,60.5731,1510.5858,725.2,,,,,,
0.1885,58.1594,1854.1518,926.6,,,,,,
0.1954,56.9021,1408.1164,651.6,,,,,,
0.2186,51.8281,1639.1291,743.9,,,,,,
0.1981,49.3207,1395.8369,734.6,,,,,,
0.2213,62.8519,1295.3938,586.7,,,,,,
0.1995,61.8904,1597.3507,720.5,,,,,,
0.1967,67.0903,1234.4316,564.8,,,,,,
0.2063,50.2781,1543.0503,714.9,,,,,,
0.2357,68.1362,1252.1884,592.5,,,,,,
0.196,60.8188,1287.9115,553.7,,,,,,
0.2056,63.1661,1457.5538,721.3,,,,,,
0.2145,61.5924,1449.572,569.6,,,,,,
0.2288,52.5821,1518.5785,687.1,,,,,,
0.1885,60.0435,1615.4928,957.8,,,,,,
0.196,66.3728,1577.2077,704.2,,,,,,
0.224,55.7744,1672.8799,708,,,,,,
0.1933,64.4452,1602.2756,670.5,,,,,,
0.2357,54.6058,1532.0496,767.9,,,,,,
0.1892,57.426,1544.9079,618.7,,,,,,
0.1974,58.4187,1562.4595,658.7,,,,,,
0.1844,65.4778,1501.1856,724.9,,,,,,
0.196,69.5157,1316.1178,576.4,,,,,,
0.1988,52.2509,1523.4522,667.6,,,,,,
0.2015,56.1424,1474.3607,694.1,,,,,,
0.2357,62.713,1420.3678,619.4,,,,,,
0.1967,57.8715,1471.2312,721.1,,,,,,
0.2029,63.6835,1226.9559,762.3,,,,,,
0.248,63.9201,1402.7609,716.6,,,,,,
0.1803,64.8106,1488.4136,741.6,,,,,,
0.2158,60.2753,1233.0272,636.6,,,,,,
0.1817,55.3985,1409.6421,732.6,,,,,,
0.1995,71.1062,1315.2812,577.3,,,,,,
0.2452,68.6797,1326.1844,580,,,,,,
0.2268,65.0181,1149.1681,589.9,,,,,,
0.1967,54.0035,1585.5948,742.8,,,,,,
0.1776,63.35,1461.1888,785.6,,,,,,
0.2083,63.3148,1850.0413,817.8,,,,,,
0.2322,71.6824,1329.6365,491,,,,,,
0.2077,55.9671,1798.1526,916,,,,,,
0.1858,64.1728,1753.0846,806.6,,,,,,
0.1817,72.9662,1302.0056,626.8,,,,,,
0.2158,55.019,1497.9892,636.9,,,,,,
0.1872,51.146,1462.5569,875.6,,,,,,
0.2008,70.3163,1196.7915,601.8,,,,,,
0.1701,76.8032,1734.0731,839,,,,,,
0.1762,66.1705,1568.9089,775.9,,,,,,
0.1817,66.391,1688.6229,872.5,,,,,,
0.2111,55.4337,1682.978,871.1,,,,,,
0.2083,52.2984,1494.102,742.9,,,,,,
0.2042,55.408,1661.1572,848.2,,,,,,
0.2199,62.0311,1635.4317,724,,,,,,
0.2261,54.5952,1291.0767,731.8,,,,,,
0.1817,60.0827,1389.3169,789.3,,,,,,
0.2042,64.0167,1464.7201,637.5,,,,,,
0.2158,81.6741,1204.3494,468.2,,,,,,
0.2261,58.7039,1310.7816,691,,,,,,
0.2213,50.7068,1463.9457,722.7,,,,,,
0.2104,58.9156,1463.4312,767.2,,,,,,
0.2165,63.8139,1416.6997,637.5,,,,,,
0.1769,48.39,1506.6367,750.4,,,,,,
0.2124,64.254,1262.409,598.8,,,,,,
0.2015,66.1864,1687.4729,756.6,,,,,,
0.2247,84.4954,1078.9726,532.6,,,,,,
0.2111,74.6764,1041.8858,502,,,,,,
0.2056,63.1528,1374.8146,727.4,,,,,,
0.2029,51.5724,1571.1428,780.2,,,,,,
0.2432,62.2528,1179.5604,627.8,,,,,,
0.1837,50.9071,1439.9465,609,,,,,,
0.252,58.1355,1353.0111,535.8,,,,,,
0.2077,89.3849,1291.5622,548.9,,,,,,
0.1865,65.7399,1562.0004,729.8,,,,,,
0.2001,61.9488,1454.3334,741.4,,,,,,
0.2186,65.8625,1509.4556,590,,,,,,
